,Unnamed: 0,Tienda,Categoría,Socket,Generación,Capacidad,Título,Stock,Precio,URL
14,14,Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARDA MSI PRO Z690-A, DDR5 LGA 1700", 0 ,"(S/ 1.052,80)",https://www.sercoplus.com/socket-1700/13263-mainboarda-msi-pro-z690-a-ddr5-lga-1700.html
15,15,Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD MSI MAG B660 TOMAHAWK WIFI, DDR5, LGA 1700", 2 ,"(S/ 900,90)",https://www.sercoplus.com/socket-1700/13757-mainboard-msi-mag-b660-tomahawk-wifi-dd.html
16,16,Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD ASUS PRIME Z690-P WIFI D4, LGA 1700", 13 ,"(S/ 1.037,76)",https://www.sercoplus.com/socket-1700/13345-mainboard-asus-prime-z690-p-wifi-d4-lga.html
17,17,Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD MSI MAG B660M MORTAR, DDR5, LGA 1700", 3 ,"(S/ 723,42)",https://www.sercoplus.com/socket-1700/13758-mainboard-msi-mag-b660m-mortar-ddr5-lg.html
18,18,Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD ASUS ROG STRIX B660-AGAMING WIFI D4, LGA 1700", 0 ,"(S/ 1.045,28)",https://www.sercoplus.com/socket-1700/13394-mainboard-asus-rog-strix-b660-agaming-wi.html
19,19,Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD ASUS PRIME H610M-K D4, LGA 170", >20 ,"(S/ 424,50)",https://www.sercoplus.com/socket-1700/13781-mainboard-asus-prime-h610m-k-d4-lga-170.html
20,20,Sercoplus,MB,LGA1700-12,LGA1700,-,MAINBOARD MSI MAG B660M MORTAR WIFI DDR4, 17 ,"(S/ 752,00)",https://www.sercoplus.com/socket-1700/13432-mainboard-msi-mag-b660m-mortar-wifi-ddr4.html
21,21,Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD MSI PRO H610M-G DDR4, LGA 1700", 20 ,"(S/ 409,46)",https://www.sercoplus.com/socket-1700/13787-mainboard-msi-pro-h610m-g-ddr4-lga-1700.html
0,0,Sercoplus,MB,AM4,AM4,-,"MAINBOARD MSI B450 GAMING PLUS MAX, AMD AM4", 0 ,"(S/ 436,16)",https://www.sercoplus.com/socket-amd-am4/10974-mainboard-msi-b450-gaming-plus-max-am4-amd-ddr4-b450-gaming-plus-max.html
1,1,Sercoplus,MB,AM4,AM4,-,"MAINBOARD ASROCK X570 PG VELOCITA, WI-FI, AM4 AMD", 1 ,"(S/ 1.285,92)",https://www.sercoplus.com/socket-amd-am4/11976-mainboard-asrock-x570-pg-velocita-wi-fi.html
