Tienda,Categoría,Socket,Generación,Capacidad,Título,Stock,Precio,URL
Sercoplus,CPU,LGA1700-12,,-,PROCESADOR INTEL CELERON G6900,20,258.4,https://www.sercoplus.com/cpu-1700-12va-generacion/13461-procesador-intel-celeron-g6900.html
Sercoplus,CPU,LGA1700-12,I7,-,PROCESADOR INTEL CORE I7-12700,15,1649.2,https://www.sercoplus.com/cpu-1700-12va-generacion/13641-procesador-intel-core-i7-12700.html
Sercoplus,CPU,LGA1700-12,,-,PROCESADOR INTEL PENTIUM GOLD G7400,20,357.2,https://www.sercoplus.com/cpu-1700-12va-generacion/13642-procesador-intel-pentium-gold-g7400.html
Sercoplus,CPU,LGA1700-12,i5,-,PROCESADOR INTEL CORE i5-12400,20,972.8,https://www.sercoplus.com/cpu-1700-12va-generacion/13326-procesador-intel-core-i5-12400.html
Sercoplus,CPU,LGA1700-12,I5,-,PROCESADOR INTEL CORE I5-12400F,20,843.6,https://www.sercoplus.com/cpu-1700-12va-generacion/13327-procesador-intel-core-i5-12400f.html
Sercoplus,CPU,AM4,3,-,PROCESADOR AMD RYZEN 3 PRO 4350G OEM,20,642.2,https://www.sercoplus.com/amd-ryzen-series-4000/12680-procesador-amd-ryzen-3-pro-4350g.html
Sercoplus,CPU,AM4,5,-,PROCESADOR AMR RYZEN 5 PRO 4650G OEM,20,843.6,https://www.sercoplus.com/amd-ryzen-series-4000/12681-procesador-amr-ryzen-5-pro-4650g-oem.html
Sercoplus,CPU,AM4,5,-,PROCESADOR AMD RYZEN 5 5600G,20,984.2,https://www.sercoplus.com/amd-ryzen-series-5000/12798-proceador-amd-ryzen-5-5600g.html
Sercoplus,CPU,AM4,7,-,PROCESADOR AMD RYZEN 7 5700G,20,1356.6,https://www.sercoplus.com/amd-ryzen-series-5000/12799-procesador-amd-ryzen-7-5700g.html
Sercoplus,CPU,AM4,5,-,"PROCESADOR AMD RYZEN 5 3500, OEM",20,646.0,https://www.sercoplus.com/amd-ryzen-series-3000/12929-procesador-amd-ryzen-5-3500.html
Sercoplus,CPU,AM4,5,-,PROCESADOR AMD RYZEN 5 5600X,20,1254.0,https://www.sercoplus.com/amd-ryzen-series-5000/11630-procesador-amd-ryzen-5-5600x.html
Sercoplus,RAM,-,DDR4,8GB,"MEM. RAM KINGSTON FURY BEAST, 8GB DDR4 2666 MHZ.",9,152.0,https://www.sercoplus.com/ddr4-2666mhz/12916-mem-ram-kingston-fury-beast-8gb-ddr4-2.html
Sercoplus,RAM,-,DDR4,8GB,MEM. RAM CRUCIAL BALLISTIX RGB 8GB DDR4 3200 MHZ.,20,168.72,https://www.sercoplus.com/ddr4-3200mhz/13593-mem-ram-crucial-ballistix-rgb-8gb-ddr4.html
Sercoplus,RAM,-,,32GB,KIT MEM. RAM T-FORCE DELTA TUF GAMING ALLIANCE RGB 32GB (2x16) 2666MHZ.,20,539.6,https://www.sercoplus.com/ddr4-2666mhz/13039-mem-ram-t-force-delta-tuf-gaming-allian.html
Sercoplus,RAM,-,,8GB,"MEM. RAM KINGSTON FURY RENEGADE RGB, 8GB 3600 MHZ",5,199.5,https://www.sercoplus.com/ddr4-3600mhz/13052-mem-ram-kingston-fury-renegade-rgb-8gb.html
