Tienda,Categoría,Socket,Generación,Capacidad,Título,Stock,Precio,URL
CyC,GPU,-,-,8GB,MSI GEFORCE RTX 3070 8GB GDDR6 256BITS VENTUS 3X LHR ,9,3401.62,https://cyccomputer.pe/nvidia-geforce-rtx/20470-msi-geforce-rtx-3070-8gb-gddr6-256bits-ventus-3x-lhr-pn912-v390-273.html
CyC,GPU,-,-,2GB,MAXSUN GT 730 2GB GDDR5 64BITS TRANSFORMERS II2G ,7,366.66,https://cyccomputer.pe/nvidia-geforce/20945-maxsun-gt-730-2gb-gddr5-64bits-transformers-ii2g-pnms-gt730transformers-ii2g.html
CyC,GPU,-,-,4GB,PNY NVIDIA QUADRO T1000 4GB GDDR6 128BITS ,6,1701.0,https://cyccomputer.pe/nvidia-quadro/21363-pny-nvidia-quadro-t1000-4gb-gddr6-128bits-pnvcnt1000-pb.html
CyC,GPU,-,-,12GB,MSI GEFORCE RTX 2060 12GB GDDR6 192BITS VENTUS OC ,6,2313.36,https://cyccomputer.pe/nvidia-geforce-rtx/21335-msi-geforce-rtx-2060-12gb-gddr6-192bits-ventus-oc-pn912-v375-684.html
CyC,GPU,-,-,4GB,BIOSTAR RADEON RX550 4GB DDR5 128BITS GAMING ,6,752.22,https://cyccomputer.pe/amd-radeon/20822-biostar-radeon-rx550-4gb-ddr5-128bits-gaming-pnva5505rf41-sbhra-bs2.html
CyC,GPU,-,-,4GB,ZOTAC GAMING GEFORCE GTX 1650 4GB GDDR6 128BITS OC ,5,1130.22,https://cyccomputer.pe/nvidia-geforce/20089-zotac-gaming-geforce-gtx-1650-4gb-gddr6-128bits-oc-pn9288-1n595-300z8.html
CyC,PSU,-,-,450W,FUENTE DEEPCOOL DE600 V2 450W BLACK ,10,139.86,https://cyccomputer.pe/fuentes-de-poder/14106-fuente-deepcool-de600-v2-450w-black-pndp-de600us-ph.html
CyC,PSU,-,-,500W,FUENTE KOLINK CORE 500W 80 PLUS WHITE ,10,151.2,https://cyccomputer.pe/fuentes-de-poder/18676-fuente-kolink-core-500w-80-plus-white-pnpgw-ps-kol-008.html
CyC,PSU,-,-,750W,FUENTE ANTRYX KIRIN 750W 80 PLUS BRONZE ,10,275.94,https://cyccomputer.pe/fuentes-de-poder/16148-fuente-antryx-kirin-750w-80-plus-bronze-pnap-kb750.html
CyC,PSU,-,-,500W,FUENTE ANTRYX B500 V2 500W BOX ,10,117.18,https://cyccomputer.pe/fuentes-de-poder/20601-fuente-antryx-b500-v2-500w-box-pnap-b500v2.html
CyC,PSU,-,-,500W,FUENTE AEROCOOL VX PLUS 500W ,10,120.96,https://cyccomputer.pe/fuentes-de-poder/16993-fuente-aerocool-vx-plus-500w-pn4713105962758.html
CyC,PSU,-,-,500W,FUENTE DEEPCOOL DN500 500W 80 PLUS WHITE ,10,175.77,https://cyccomputer.pe/fuentes-de-poder/21443-fuente-deepcool-dn500-500w-80-plus-white-pngp-bz-dn500.html
CyC,PSU,-,-,750W,FUENTE ANTRYX KIRIN 750W 80 PLUS GOLD MODULAR ,10,349.65,https://cyccomputer.pe/fuentes-de-poder/17347-fuente-antryx-kirin-750w-80-plus-gold-modular-pngpx750s.html
CyC,PSU,-,-,550W,FUENTE COOLER MASTER MWE V2 550W 80 PLUS BRONZE ,10,238.14,https://cyccomputer.pe/fuentes-de-poder/14952-fuente-cooler-master-mwe-v2-550w-80-plus-bronze-pnmpe-5501-acaab-us.html
CyC,PSU,-,-,700W,FUENTE EVGA 700W 80 PLUS WHITE ,10,272.16,https://cyccomputer.pe/fuentes-de-poder/13605-fuente-evga-700w-80-plus-white-pn100-w1-0700-k1.html
CyC,PSU,-,-,650W,FUENTE DEEPCOOL 650W 80 PLUS GOLD MODULAR ,10,383.67,https://cyccomputer.pe/fuentes-de-poder/21440-fuente-deepcool-650w-80-plus-gold-modular-pndp-gd-dq650-m-v2l.html
CyC,PSU,-,-,750W,FUENTE COOLER MASTER MWE GOLD 750W V2 80 PLUS GOLD MODULAR ,10,491.4,https://cyccomputer.pe/fuentes-de-poder/20283-fuente-cooler-master-mwe-gold-750w-v2-80-plus-gold-modular-pnmpe-7501-afaag-u2.html
CyC,PSU,-,-,700W,FUENTE ANTRYX XPII 700W 80 PLUS WHITE ,10,230.58,https://cyccomputer.pe/fuentes-de-poder/11893-fuente-antryx-xpii-700w-80-plus-white-pnap-xp700v2.html
CyC,PSU,-,-,650W,FUENTE CORSAIR CX650F RGB 650W 80 PLUS BRONZE FULL MODULAR ,10,359.1,https://cyccomputer.pe/fuentes-de-poder/21069-fuente-corsair-cx650f-rgb-650w-80-plus-bronze-full-modular-pncp-9020217-na.html
CyC,PSU,-,-,650W,FUENTE ASUS TUF GAMING 650W 80 PLUS BRONZE SEMI MODULAR ,10,472.5,https://cyccomputer.pe/fuentes-de-poder/16810-fuente-asus-tuf-gaming-650w-80-plus-bronze-semi-modular-pn90ye00d1-b0aa00.html
CyC,PSU,-,-,650W,FUENTE ANTRYX KIRIN 650W 80 PLUS BRONZE ,10,253.26,https://cyccomputer.pe/fuentes-de-poder/16147-fuente-antryx-kirin-650w-80-plus-bronze-pnap-kb650.html
CyC,PSU,-,-,650W,FUENTE THERMALTAKE SMART BX1 650W 80 PLUS BRONZE ,10,292.95,https://cyccomputer.pe/fuentes-de-poder/21209-fuente-thermaltake-smart-bx1-650w-80-plus-bronze-pnps-spd-0650nnfabu-1.html
CyC,PSU,-,-,550W,FUENTE SEASONIC FOCUS SSR-550GB3 80 PLUS BRONZE 550W BLACK,10,287.28,https://cyccomputer.pe/fuentes-de-poder/15998-fuente-seasonic-focus-ssr-550gb3-80-plus-bronze-550w-black.html
CyC,PSU,-,-,600W,FUENTE SEASONIC A12 600W 80 PLUS WHITE ,10,249.48,https://cyccomputer.pe/fuentes-de-poder/15993-fuente-seasonic-a12-600w-80-plus-white-pnssr-600ra.html
